track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,1019.991,1003,-3.167,-2.734,-2.429,5.62,2.2
1,2,200,car,1019.66,1002.744,-3.214,-2.713,-2.44,5.62,2.2
1,3,300,car,1019.324,1002.491,-3.279,-2.7,-2.453,5.62,2.2
1,4,400,car,1018.979,1002.242,-3.363,-2.694,-2.466,5.62,2.2
1,5,500,car,1018.625,1001.995,-3.465,-2.693,-2.481,5.62,2.2
1,6,600,car,1018.26,1001.751,-3.583,-2.694,-2.497,5.62,2.2
1,7,700,car,1017.881,1001.508,-3.716,-2.693,-2.514,5.62,2.2
1,8,800,car,1017.488,1001.268,-3.863,-2.689,-2.533,5.62,2.2
1,9,900,car,1017.079,1001.031,-4.023,-2.679,-2.554,5.62,2.2
1,10,1000,car,1016.652,1000.797,-4.197,-2.662,-2.576,5.62,2.2
1,11,1100,car,1016.207,1000.568,-4.386,-2.635,-2.601,5.62,2.2
1,12,1200,car,1015.742,1000.345,-4.59,-2.598,-2.626,5.62,2.2
1,13,1300,car,1015.257,1000.129,-4.81,-2.549,-2.654,5.62,2.2
1,14,1400,car,1014.749,999.922,-5.045,-2.485,-2.684,5.62,2.2
1,15,1500,car,1014.219,999.725,-5.293,-2.405,-2.715,5.62,2.2
1,16,1600,car,1013.666,999.54,-5.552,-2.306,-2.748,5.62,2.2
1,17,1700,car,1013.088,999.369,-5.815,-2.187,-2.782,5.62,2.2
1,18,1800,car,1012.487,999.213,-6.081,-2.047,-2.817,5.62,2.2
1,19,1900,car,1011.86,999.073,-6.344,-1.888,-2.852,5.62,2.2
1,20,2000,car,1011.21,998.95,-6.6,-1.711,-2.888,5.62,2.2
1,21,2100,car,1010.536,998.846,-6.849,-1.52,-2.923,5.62,2.2
1,22,2200,car,1009.839,998.76,-7.088,-1.319,-2.958,5.62,2.2
1,23,2300,car,1009.121,998.692,-7.316,-1.112,-2.991,5.62,2.2
1,24,2400,car,1008.382,998.643,-7.534,-0.902,-3.022,5.62,2.2
1,25,2500,car,1007.622,998.611,-7.741,-0.693,-3.052,5.62,2.2
1,26,2600,car,1006.843,998.597,-7.939,-0.489,-3.08,5.62,2.2
1,27,2700,car,1006.046,998.6,-8.126,-0.29,-3.106,5.62,2.2
1,28,2800,car,1005.231,998.619,-8.304,-0.101,-3.129,5.62,2.2
1,29,2900,car,1004.399,998.652,-8.471,0.078,3.132,5.62,2.2
1,30,3000,car,1003.551,998.699,-8.627,0.246,3.113,5.62,2.2
1,31,3100,car,1002.688,998.758,-8.772,0.401,3.096,5.62,2.2
1,32,3200,car,1001.812,998.829,-8.906,0.543,3.081,5.62,2.2
1,33,3300,car,1000.922,998.91,-9.029,0.671,3.067,5.62,2.2
1,34,3400,car,1000.02,999.001,-9.142,0.786,3.056,5.62,2.2
1,35,3500,car,999.107,999.1,-9.244,0.887,3.046,5.62,2.2
1,36,3600,car,998.184,999.205,-9.337,0.975,3.038,5.62,2.2
1,37,3700,car,997.251,999.316,-9.422,1.049,3.031,5.62,2.2
1,38,3800,car,996.31,999.432,-9.5,1.11,3.025,5.62,2.2
1,39,3900,car,995.36,999.551,-9.572,1.157,3.021,5.62,2.2
1,40,4000,car,994.403,999.673,-9.639,1.192,3.019,5.62,2.2
